15,2465.0958,7522.9583,49.6685
15,2472.3016,7518.8496,49.8279
15,2479.5693,7514.3591,49.9164
15,2487.0536,7509.7289,49.9314
15,2493.2229,7505.4964,49.9235
15,2498.8738,7501.0129,50.0072
15,2503.6384,7496.8128,49.9556
11,2503.6409,7496.8118,49.9534
11,2503.5679,7496.7374,49.9617
11,2504.2127,7496.0970,50.0457
11,2504.3018,7496.1452,49.9449
11,2509.1562,7491.0162,49.9642
11,2509.0505,7490.9418,50.0715
11,2514.0128,7485.1441,50.1142
11,2514.1161,7485.2138,50.0145
11,2517.5723,7480.7989,50.0391
11,2517.4891,7480.7308,50.1592
11,2519.5896,7477.6501,50.2149
11,2519.7421,7477.7027,50.1010
13,2522.2421,7479.8197,50.1135
13,2516.7087,7487.1485,50.0585
13,2510.1269,7494.2393,50.0158
13,2504.6674,7499.5944,49.9972
13,2498.3864,7505.0973,50.0137
13,2490.1919,7510.7748,49.9952
13,2481.1099,7516.4288,49.9835
13,2482.4927,7515.6087,49.9823
13,2473.7854,7520.6458,49.8920
13,2465.8355,7525.1504,49.7539
15,2467.2192,7527.4562,49.7028
15,2475.5788,7522.6644,49.8286
15,2482.8435,7518.2434,49.9207
15,2490.3151,7514.1441,50.0034
15,2495.9694,7510.3071,50.0021
15,2500.5841,7506.8093,49.9370
15,2502.4454,7505.2788,49.8842
15,2503.0667,7504.9572,49.8653
15,2503.6931,7505.0821,49.8494
15,2504.2318,7505.2773,49.8519
15,2504.4567,7505.2504,49.8438
15,2504.7516,7504.9434,49.8459
15,2505.1722,7503.5340,49.8574
15,2506.0016,7502.1766,49.8875
15,2507.5634,7500.4783,49.9380
11,2507.5631,7500.4770,49.9378
11,2507.6226,7500.5737,49.9737
11,2509.9706,7498.2910,50.0397
11,2509.8888,7498.2149,49.9857
11,2514.4606,7493.7157,49.9871
11,2514.5355,7493.7530,50.1164
11,2518.2539,7489.9257,50.1270
11,2518.1705,7489.8705,50.0075
11,2520.2161,7487.5354,50.0178
11,2520.2975,7487.6184,50.1393
11,2522.8340,7484.4210,50.1737
11,2522.7498,7484.3469,50.0726
11,2524.6774,7481.4369,50.0873
11,2524.7976,7481.5435,50.1940
17,2527.2695,7483.0556,50.1140
17,2522.3180,7487.3299,50.0955
24,2522.1932,7487.2925,50.1603
24,2519.9389,7489.5202,50.1380
28,2519.8729,7489.5481,50.1443
28,2519.0825,7490.3231,50.1486
